description,link,price,location,bedrooms,bathrooms,area
"124 m apartment on the ground floor in front of the Food Court in Madinaty and directly opposite the South Park, just minutes away from Madinaty Club and the Central",https://www.dubizzle.com.eg/en/ad/124-m-apartment-on-the-ground-floor-in-front-of-the-food-court-in-madinaty-and-directly-opposite-the-south-park-just-minutes-away-from-madinaty-club-and-the-central-ID502647907.html,"EGP 6,800,000","Madinaty, Cairo•",3,2,124 SQM
Apartment for Sale – West Arabella – New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-west-arabella-new-cairo-ID502647906.html,"EGP 7,000,000","West Arabella Compound, 3rd Settlement•",3,2,185 SQM
Apartment for Sale in The Square – New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-the-square-new-cairo-ID502647899.html,"EGP 7,500,000","The Square Compound, 5th Settlement•",3,3,167 SQM
Apartment 200 meters ground floor with garden for sale in my city B12 wide view garden,https://www.dubizzle.com.eg/en/ad/apartment-200-meters-ground-floor-with-garden-for-sale-in-my-city-b12-wide-view-garden-ID502647896.html,"EGP 10,500,000","Madinaty, Cairo•",4,3,200 SQM
Pool View Ready To Move Next To Mivida &  Hyde Park & Sodic Semi Finished Apartment 164m For Sale In La Vista Patio Oro New Cairo With Installments,https://www.dubizzle.com.eg/en/ad/pool-view-ready-to-move-next-to-mivida-hyde-park-sodic-semi-finished-apartment-164m-for-sale-in-la-vista-patio-oro-new-cairo-with-installments-ID502497470.html,"EGP 12,800,000","EL Patio ORO Compound, 5th Settlement•",3,3,164 SQM
Apartment for Sale in  – Andalus 2 – New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-andalus-2-new-cairo-ID502647890.html,"EGP 3,500,000","Al Andalous, 5th Settlement•",3,2,200 SQM
"Fully Finished Duplex Apartment in Trio Gardens New Cairo, American kitchen, Smart system, Ready to move",https://www.dubizzle.com.eg/en/ad/fully-finished-duplex-apartment-in-trio-gardens-new-cairo-american-kitchen-smart-system-ready-to-move-ID501886987.html,"EGP 11,500,000","Trio Gardens Compound, 5th Settlement•",3,3,230 SQM
Apartment for Sale in Dar Misr Al-Qarnfoul – New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-dar-misr-al-qarnfoul-new-cairo-ID502591492.html,"EGP 3,500,000","Dar Misr, 1st Settlement•",3,2,130 SQM
Apartment for Sale ( Ready to move and viewing with installments Up to 10 Year ) in Maqsad New Capital,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-ready-to-move-and-viewing-with-installments-up-to-10-year-in-maqsad-new-capital-ID502058276.html,"EGP 4,500,000","Al Maqsad, New Capital City•",3,2,135 SQM
"Ultra luxury apartment for sale in the third neighborhood, Al Shorouk City",https://www.dubizzle.com.eg/en/ad/ultra-luxury-apartment-for-sale-in-the-third-neighborhood-al-shorouk-city-ID502623943.html,"EGP 7,500,000","Shorouk City, Cairo•",3,3,175 SQM
Ready to move lowest price in new cairo double view apartment for sale in Mountain view Icity fifth settlement,https://www.dubizzle.com.eg/en/ad/ready-to-move-lowest-price-in-new-cairo-double-view-apartment-for-sale-in-mountain-view-icity-fifth-settlement-ID502645213.html,"EGP 5,863,000","Mountain View iCity Compound, 5th Settlement•",3,3,150 SQM
شقه للبيع,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-ID206010579.html,"EGP 3,000,000","Badr City, Cairo•",3,3,210 SQM
من المالك روف كامل  ٣٠٠ متر للبيع بالشروق متشطب بالكامل,https://www.dubizzle.com.eg/en/ad/%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%A7%D9%84%D9%83-%D8%B1%D9%88%D9%81-%D9%83%D8%A7%D9%85%D9%84-%D9%A3%D9%A0%D9%A0-%D9%85%D8%AA%D8%B1-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D8%A7%D9%84%D8%B4%D8%B1%D9%88%D9%82-%D9%85%D8%AA%D8%B4%D8%B7%D8%A8-%D8%A8%D8%A7%D9%84%D9%83%D8%A7%D9%85%D9%84-ID204773447.html,"EGP 3,950,000","Shorouk City, Cairo•",3,1,300 SQM
"Apartment for Sale – New Cairo, El Qornfol Villas 1",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-new-cairo-el-qornfol-villas-1-ID502647883.html,"EGP 8,200,000","5th Settlement, New Cairo•",4,3,237 SQM
Luxury Apartment for Sale – South Investors 1 – Fifth Settlement,https://www.dubizzle.com.eg/en/ad/luxury-apartment-for-sale-south-investors-1-fifth-settlement-ID502647882.html,"EGP 6,000,000","South Investors, 5th Settlement•",3,2,219 SQM
"Ready-to-move apartment in El Patio Oro, Fifth Settlement, at the best price and in a prime location.",https://www.dubizzle.com.eg/en/ad/ready-to-move-apartment-in-el-patio-oro-fifth-settlement-at-the-best-price-and-in-a-prime-location-ID502645227.html,"EGP 8,500,000","EL Patio ORO Compound, 5th Settlement•",2,2,120 SQM
Apartment for Sale 132 sqm in Sarai Compound Wall to Wall with Madinaty in New Cairo the 5th Settlement on Suez Road,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-132-sqm-in-sarai-compound-wall-to-wall-with-madinaty-in-new-cairo-the-5th-settlement-on-suez-road-ID502647823.html,"EGP 3,890,000","Sarai, Mostakbal City•",3,2,132 SQM
Elevated Ground Floor Apartment for Sale – Al Banafseg 7 Villas – New Cairo,https://www.dubizzle.com.eg/en/ad/elevated-ground-floor-apartment-for-sale-al-banafseg-7-villas-new-cairo-ID502647879.html,"EGP 6,650,000","El Banafseg 7, 1st Settlement•",3,2,178 SQM
Pool View Ready To Move Next To Mivida &  Hyde Park & Sodic Semi Finished Apartment 164m For Sale In La Vista Patio Oro New Cairo With Installments,https://www.dubizzle.com.eg/en/ad/pool-view-ready-to-move-next-to-mivida-hyde-park-sodic-semi-finished-apartment-164m-for-sale-in-la-vista-patio-oro-new-cairo-with-installments-ID502491835.html,"EGP 11,700,000","EL Patio ORO Compound, 5th Settlement•",3,3,164 SQM
"Apartment for sale in Taj City, directly facing the club, in the most prime phase, with the longest payment plan of up to 12 years",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-taj-city-directly-facing-the-club-in-the-most-prime-phase-with-the-longest-payment-plan-of-up-to-12-years-ID502041153.html,"EGP 6,105,000","Taj City Compound, 1st Settlement•",3,2,117 SQM
"A rare opportunity to own a distinctive unit in the newest cluster in Madinaty – Phase B8, New Cluster 86.  The unit features an open garden view, a d",https://www.dubizzle.com.eg/en/ad/a-rare-opportunity-to-own-a-distinctive-unit-in-the-newest-cluster-in-madinaty-phase-b8-new-cluster-86-the-unit-features-an-open-garden-view-a-d-ID502501875.html,"EGP 5,800,000","Madinaty, Cairo•",3,3,131 SQM
"Apartment with garden for sale, 161 sqm, finished, sea view, on the club and landscape, in New Cairo, Hyde Park New Cairo, Fifth Settlement, near AUC",https://www.dubizzle.com.eg/en/ad/apartment-with-garden-for-sale-161-sqm-finished-sea-view-on-the-club-and-landscape-in-new-cairo-hyde-park-new-cairo-fifth-settlement-near-auc-ID502392192.html,"EGP 10,000,000","Hyde Park New Cairo Compound, 5th Settlement•",3,2,161 SQM
"An exceptional opportunity to own a luxurious, ready-to-move-in apartment in the heart of Madinaty, in the distinctive B6 phase. The unit combines a p",https://www.dubizzle.com.eg/en/ad/an-exceptional-opportunity-to-own-a-luxurious-ready-to-move-in-apartment-in-the-heart-of-madinaty-in-the-distinctive-b6-phase-the-unit-combines-a-p-ID502501608.html,"EGP 5,350,000","Madinaty, Cairo•",3,2,103 SQM
Apartment for Sale Fully Finished with ACs Fifth Square by El Marasem – New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-fully-finished-with-acs-fifth-square-by-el-marasem-new-cairo-ID502640296.html,"EGP 12,316,000","Fifth Square Compound, 5th Settlement•",3,3,168 SQM
"Exclusive Apartment for Sale – Villas Area, First Settlement Yasmeen 1",https://www.dubizzle.com.eg/en/ad/exclusive-apartment-for-sale-villas-area-first-settlement-yasmeen-1-ID502647868.html,"EGP 6,500,000","El Yasmeen 1, 1st Settlement•",3,3,260 SQM
شقه نمبر وان . . . . غير مجروحه تماما,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D9%86%D9%85%D8%A8%D8%B1-%D9%88%D8%A7%D9%86-%D8%BA%D9%8A%D8%B1-%D9%85%D8%AC%D8%B1%D9%88%D8%AD%D9%87-%D8%AA%D9%85%D8%A7%D9%85%D8%A7-ID206044758.html,"EGP 2,750,000","Zahraa Madinat Nasr, Nasr City•",2,1,86 SQM
"A 107-square-meter apartment with balanced interior layouts and company-finished finishes, strategically located near services, the East Hub, and All",https://www.dubizzle.com.eg/en/ad/a-107-square-meter-apartment-with-balanced-interior-layouts-and-company-finished-finishes-strategically-located-near-services-the-east-hub-and-all-ID502503989.html,"EGP 5,300,000","Madinaty, Cairo•",3,2,107 SQM
Luxury Apartment for Sale – Amorada Compound New Cairo,https://www.dubizzle.com.eg/en/ad/luxury-apartment-for-sale-amorada-compound-new-cairo-ID502647862.html,"EGP 12,000,000","Amorada Compound, 5th Settlement•",3,3,191 SQM
شقة ١٣٥ متر بجوار حي الزيتون,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%A1%D9%A3%D9%A5-%D9%85%D8%AA%D8%B1-%D8%A8%D8%AC%D9%88%D8%A7%D8%B1-%D8%AD%D9%8A-%D8%A7%D9%84%D8%B2%D9%8A%D8%AA%D9%88%D9%86-ID206044718.html,"EGP 2,800,000","Hadayeq El Zeitoun, Cairo•",3,1,135 SQM
Apartment for sale in Dar Misr Al-Qarnfal 130m Model B Super Lux - New Cairo,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-dar-misr-al-qarnfal-130m-model-b-super-lux-new-cairo-ID502647861.html,"EGP 4,100,000","Dar Misr, 5th Settlement•",3,2,130 SQM
Apartment for Sale – Immediate Delivery – 224 sqm Located in Marakez District 5.,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-immediate-delivery-224-sqm-located-in-marakez-district-5-ID502153356.html,"EGP 8,500,000","District 5 Compound, 5th Settlement•",3,5,224 SQM
3 Room Apartment in the Heart of Al Rehab at a Bargain Price,https://www.dubizzle.com.eg/en/ad/3-room-apartment-in-the-heart-of-al-rehab-at-a-bargain-price-ID502647855.html,"EGP 5,900,000","Rehab City Compound, New Cairo•",3,2,123 SQM
For sale: a 175 square meter apartment in Al-Narges Buildings - Fifth Settlement,https://www.dubizzle.com.eg/en/ad/for-sale-a-175-square-meter-apartment-in-al-narges-buildings-fifth-settlement-ID502570173.html,"EGP 5,500,000","Al Narges, 5th Settlement•",3,3,175 SQM
"apartment for sale in Palm Hills New Cairo, prime location, 2 master bedrooms, 3 bathrooms, price 8.4M",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-palm-hills-new-cairo-prime-location-2-master-bedrooms-3-bathrooms-price-84m-ID502647852.html,"EGP 8,400,000","Palm Hills Katameya Extension Compound, 5th Settlement•",2,3,170 SQM
مدينة الشرورق المنطقة السابعة شقة 191م أميز منطقة في الشروق فيو مفتوح تشطيب Luxury ألترا سوبر لوكس جميع العدادات موجودة,https://www.dubizzle.com.eg/en/ad/%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B4%D8%B1%D9%88%D8%B1%D9%82-%D8%A7%D9%84%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D8%B3%D8%A7%D8%A8%D8%B9%D8%A9-%D8%B4%D9%82%D8%A9-191%D9%85-%D8%A3%D9%85%D9%8A%D8%B2-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%B4%D8%B1%D9%88%D9%82-%D9%81%D9%8A%D9%88-%D9%85%D9%81%D8%AA%D9%88%D8%AD-%D8%AA%D8%B4%D8%B7%D9%8A%D8%A8-luxury-%D8%A3%D9%84%D8%AA%D8%B1%D8%A7-%D8%B3%D9%88%D8%A8%D8%B1-%D9%84%D9%88%D9%83%D8%B3-%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%B9%D8%AF%D8%A7%D8%AF%D8%A7%D8%AA-%D9%85%D9%88%D8%AC%D9%88%D8%AF%D8%A9-ID502647808.html,"EGP 4,150,000","Shorouk City, Cairo•",4,3,191 SQM
"rare opportunity to own an elegant apartment in the heart of Madinaty – Phase B12, combining high-end finishing from the company with a distinctive ga",https://www.dubizzle.com.eg/en/ad/rare-opportunity-to-own-an-elegant-apartment-in-the-heart-of-madinaty-phase-b12-combining-high-end-finishing-from-the-company-with-a-distinctive-ga-ID502501342.html,"EGP 4,000,000","Madinaty, Cairo•",2,1,73 SQM
A rare opportunity to own a distinctive residential unit in the heart of Madinaty – Phase B7,https://www.dubizzle.com.eg/en/ad/a-rare-opportunity-to-own-a-distinctive-residential-unit-in-the-heart-of-madinaty-phase-b7-ID502501492.html,"EGP 3,900,000","Madinaty, Cairo•",2,1,82 SQM
Apartment for sale at the lowest price – 3 bedrooms 165m ready for immediate delivery located in Fifth Settlement next to the American University,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-at-the-lowest-price-3-bedrooms-165m-ready-for-immediate-delivery-located-in-fifth-settlement-next-to-the-american-university-ID502635189.html,"EGP 7,600,000","Kattameya Gardens Compound, 5th Settlement•",3,2,165 SQM
Apartment for sale ready for immediate delivery 160 sqm available for viewing next to the American University in New Cairo  Fifth Settlement.,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-ready-for-immediate-delivery-160-sqm-available-for-viewing-next-to-the-american-university-in-new-cairo-fifth-settlement-ID502635058.html,"EGP 7,500,000","Nest Cairo Compound, 6th Settlement•",2,3,160 SQM
"Apartment for sale  125 sqm, immediate delivery in Fifth Settlement, next to the American University.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-125-sqm-immediate-delivery-in-fifth-settlement-next-to-the-american-university-ID502635277.html,"EGP 5,900,000","Kattameya Gardens Compound, 5th Settlement•",2,2,125 SQM
apartment in new cairo,https://www.dubizzle.com.eg/en/ad/apartment-in-new-cairo-ID205992374.html,"EGP 4,500,000","Beit Al Watan, 5th Settlement•",3,2,170 SQM
Apartment for sale ready for immediate delivery next to Katameya Dunes and the American University with an area of 160m in heart of Fifth Settlement,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-ready-for-immediate-delivery-next-to-katameya-dunes-and-the-american-university-with-an-area-of-160m-in-heart-of-fifth-settlement-ID502635426.html,"EGP 7,000,000","Kattameya Gardens Compound, 5th Settlement•",3,3,160 SQM
"Apartment for sale in Fifth Square, Fifth Settlement by Al Marasem. Fully finished with air conditioning, 160 sqm, ready for viewing.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-fifth-square-fifth-settlement-by-al-marasem-fully-finished-with-air-conditioning-160-sqm-ready-for-viewing-ID502637105.html,"EGP 10,680,000","Fifth Square Compound, 5th Settlement•",3,2,160 SQM
"Penthouse for sale, finished with air conditioners, available for immediate viewing at Fifth Square, Al Marasem, New Cairo.",https://www.dubizzle.com.eg/en/ad/penthouse-for-sale-finished-with-air-conditioners-available-for-immediate-viewing-at-fifth-square-al-marasem-new-cairo-ID502637225.html,"EGP 13,780,000","Fifth Square Compound, 5th Settlement•",3,2,160 SQM
"Apartment for immediate delivery, finished with a garden, 3 bedrooms, in Golden Square, The Address East Compound, New Cairo.",https://www.dubizzle.com.eg/en/ad/apartment-for-immediate-delivery-finished-with-a-garden-3-bedrooms-in-golden-square-the-address-east-compound-new-cairo-ID502645486.html,"EGP 7,000,000","The Address East Compound, 5th Settlement•",3,2,140 SQM
"Apartment for sale, immediate delivery, finished, at the best price in Golden Square, The Address East Compound, New Cairo.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-immediate-delivery-finished-at-the-best-price-in-golden-square-the-address-east-compound-new-cairo-ID502645808.html,"EGP 6,100,000","The Address East Compound, 5th Settlement•",2,2,121 SQM
"Apartment for immediate sale, finished, at the best price – 3 bedrooms, 140 sqm, in the heart of Golden Square, The Address East Compound, New Cairo.",https://www.dubizzle.com.eg/en/ad/apartment-for-immediate-sale-finished-at-the-best-price-3-bedrooms-140-sqm-in-the-heart-of-golden-square-the-address-east-compound-new-cairo-ID502645910.html,"EGP 6,500,000","The Address East Compound, 5th Settlement•",3,2,145 SQM
"Apartment for immediate sale, fully furnished with appliances and air conditioners, 191 sqm, in Amorada Compound, in front of Hyde Park, New Cairo.",https://www.dubizzle.com.eg/en/ad/apartment-for-immediate-sale-fully-furnished-with-appliances-and-air-conditioners-191-sqm-in-amorada-compound-in-front-of-hyde-park-new-cairo-ID502646066.html,"EGP 13,000,000","Amorada Compound, 5th Settlement•",3,3,191 SQM
"Apartment for sale, a bargain, 3 rooms, immediate delivery and fully finished, with installments, in Address East, Fifth Settlement, New Cairo",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-a-bargain-3-rooms-immediate-delivery-and-fully-finished-with-installments-in-address-east-fifth-settlement-new-cairo-ID502279537.html,"EGP 8,500,000","The Address East Compound, 5th Settlement•",3,2,160 SQM
Apartment for sale Immediate delivery fully finished with furniture appliances air conditioners and a complete kitchen 191m in front of Hyde Park New,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-immediate-delivery-fully-finished-with-furniture-appliances-air-conditioners-and-a-complete-kitchen-191m-in-front-of-hyde-park-new-ID502646941.html,"EGP 12,500,000","Amorada Compound, 5th Settlement•",3,2,191 SQM
"Apartment for sale – Immediate delivery, ready for viewing, in Al Maqsed Compound, New Capital.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-immediate-delivery-ready-for-viewing-in-al-maqsed-compound-new-capital-ID502647289.html,"EGP 4,000,000","Al Maqsad, New Capital City•",3,2,131 SQM
Apartment with garden semi finished prime location three bedrooms for sale in el patio oro by la vista,https://www.dubizzle.com.eg/en/ad/apartment-with-garden-semi-finished-prime-location-three-bedrooms-for-sale-in-el-patio-oro-by-la-vista-ID502620691.html,"EGP 9,250,000","EL Patio ORO Compound, 5th Settlement•",3,2,166 SQM
Apartment Overlooking Wide Landscape in Marasem,https://www.dubizzle.com.eg/en/ad/apartment-overlooking-wide-landscape-in-marasem-ID502525238.html,"EGP 13,725,000","Fifth Square Compound, 5th Settlement•",3,3,180 SQM
apartment fully finished ready to move prime location in mountain view icity new cairo,https://www.dubizzle.com.eg/en/ad/apartment-fully-finished-ready-to-move-prime-location-in-mountain-view-icity-new-cairo-ID502297988.html,"EGP 7,700,000","Mountain View iCity Compound, 5th Settlement•",3,3,160 SQM
Apartment fully finished  and furnishedResale from owner direct prime location in new cairo compound sodic eastown first use ready to move,https://www.dubizzle.com.eg/en/ad/apartment-fully-finished-and-furnishedresale-from-owner-direct-prime-location-in-new-cairo-compound-sodic-eastown-first-use-ready-to-move-ID502600140.html,"EGP 16,000,000","Eastown Compound, 5th Settlement•",4,4,160 SQM
